profile_name,rating,review_topic,time_place,color,review_text,model_phone,aspect,sentiment,aspect_text,review_score
salvatore,5.0 out of 5 stars,arrived quickly great,reviewed italy may,black,arrived quickly great,samsung a14 5g,software,positive,software arrived quickly great,5
tara l sewell,5.0 out of 5 stars,would buy phone way,reviewed united state may,service provider unlockedcolor natural titaniumsize gb,arrived perfect condition took phone store transfer took minute phone store employee get running happy would buy phone way,iphone 15 pro,other,positive,other arrived perfect condition took phone store transfer took minute phone store employee get running happy would buy phone way,5
paul kealey,5.0 out of 5 stars,excellent,reviewed united state april,color titanium graysize gbstyle ultrapattern name phone,great phone,samsung s24,other,positive,other great phone,5
dahlia,5.0 out of 5 stars,real vendor,reviewed united state april,service provider unlockedcolor blue titaniumsize gb,came safe unlocked work like phone bought apple,iphone 15 pro,other,positive,other came safe unlocked work like phone bought apple,5
cliente amazon,3.0 out of 5 stars,telephone audio listening unsatisfactory phone call receiving conversation sound bad,reviewed italy june,black,mobile phone partly satisfactory partly good telephone line poor transmission hand reception often cant hear anything broken besides audio receiving phone call low maybe defect loud voice audio quality unsatisfactory partly metallic previous cell samsung plus defect contrary good time strange production company take qualitative step back point,samsung a14 5g,audio,neutral,audio mobile phone partly satisfactory partly good telephone line poor transmission hand reception often cant hear anything broken besides audio receiving phone call low maybe defect loud voice audio quality unsatisfactory partly metallic previous cell samsung plus defect contrary good time strange production company take qualitative step back point,3
orlando,1.0 out of 5 stars,disappointed terrible experience,reviewed italy november,black,faith quality samsungs cell phone always used samsung year time samsung g gave great disappointment month use cell phone longer turn power button turn press access button many time also turn many time often want send service center km away post isnt good idea sense remove apps personal data use time buy new cell phone doubtful whether buy another samsung,samsung a14 5g,battery,positive,battery faith quality samsungs cell phone always used samsung year time samsung g gave great disappointment month use cell phone longer turn power button turn press access button many time also turn many time often want send service center km away post isnt good idea sense remove apps personal data use time buy new cell phone doubtful whether buy another samsung,5
alan,5.0 out of 5 stars,wow beast roar,reviewed united state september,size gbstyle black,phone amazing fast light battery friggin real screen bright vivid sound pretty good speaker range bluetooth best ive found far choice narrowed samsung price brainer oh thing charge fast blow mind youre fence,oneplus 12.csv,battery,positive,battery phone amazing fast light battery friggin real screen bright vivid sound pretty good speaker range bluetooth best ive found far choice narrowed samsung price brainer oh thing charge fast blow mind youre fence,5
mimmo,4.0 out of 5 stars,great price perfect delivery definitely smartphone performance improve,reviewed italy january,black,purchased samsung ag satisfied purchase right price unfortunately month use satisfied slow operation call caller say hear sick even signal smooth transition one screen others restarted turning keyboard make call thing appear phone book call log wait several minute making call search telephone book asked assistance advised clear cache apps done many time doesnt improve hope solution future update,samsung a14 5g,screen,neutral,screen purchased samsung ag satisfied purchase right price unfortunately month use satisfied slow operation call caller say hear sick even signal smooth transition one screen others restarted turning keyboard make call thing appear phone book call log wait several minute making call search telephone book asked assistance advised clear cache apps done many time doesnt improve hope solution future update,3
alejandro hurtado,4.0 out of 5 stars,good two scratch,reviewed united state february,service provider unlockedcolor natural titaniumsize gb,great phone,iphone 15 pro,other,positive,other great phone,5
heinrich,2.0 out of 5 stars,information technology,reviewed germany august,black,description german mobile phone nfc payment option according samsung possible cell phone manufactured panama,samsung a14 5g,software,neutral,software description german mobile phone nfc payment option according samsung possible cell phone manufactured panama,3
michael,5.0 out of 5 stars,great phone great price,reviewed united state january,size gbcolor black,ive used phone year performed american phone ive used last year mostly smother performance keep application,nothing 2a,performance,positive,performance ive used phone year performed american phone ive used last year mostly smother performance keep application,5
heinz denis,1.0 out of 5 stars,scrap,reviewed germany february,black,phone delivered without nfc supplier refuse change anything cell phone useless,samsung a14 5g,other,negative,other phone delivered without nfc supplier refuse change anything cell phone useless,1
jorge avt,5.0 out of 5 stars,quality price,reviewed mexico july,black global rom,found good cell phone sale ive month hasnt failed,poco m6 pro,other,neutral,other found good cell phone sale ive month hasnt failed,3
leo,4.0 out of 5 stars,perfect battery health higher,reviewed united state april,service provider unlockedcolor starlightsize gb,scratch screen phone shell camera sound test ok phone numbersim card transferred easilyhowever battery health phone hot initial data transfer,iphone 13,battery,positive,battery scratch screen phone shell camera sound test ok phone numbersim card transferred easilyhowever battery health phone hot initial data transfer,5
luigi,4.0 out of 5 stars,everything ok,reviewed italy may,black,everything ok,samsung a14 5g,other,positive,other everything ok,5
chris c,5.0 out of 5 stars,great phone half price iphone galaxy,reviewed united state november,size gbstyle black,incredible phone purchased prime day deal early october speedy processor good amount ram rolled oxygen android update week ago spec fantastic camera good camera great megapixel sony hasselblad lens make great photograph x optical zoom x insensor zoom x digital zoom even screwing around digital zoom night shooting moon digital grainy great camera phone cant beat price bracket,oneplus 12.csv,camera,positive,camera incredible phone purchased prime day deal early october speedy processor good amount ram rolled oxygen android update week ago spec fantastic camera good camera great megapixel sony hasselblad lens make great photograph x optical zoom x insensor zoom x digital zoom even screwing around digital zoom night shooting moon digital grainy great camera phone cant beat price bracket,5
alberto,2.0 out of 5 stars,speaker,reviewed italy december,black,speaker broke month,samsung a14 5g,audio,neutral,audio speaker broke month,3
damico giovanni,2.0 out of 5 stars,open seal,reviewed italy may,black,phone arrived opened seal bruised escarole,samsung a14 5g,software,neutral,software phone arrived opened seal bruised escarole,3
gaby,5.0 out of 5 stars,report,reviewed united state may,color aurora purple global rom,super cute spectacular camera love,redmi note 13 pro,camera,positive,camera super cute spectacular camera love,5
klient serwisu amazon,5.0 out of 5 stars,unknown,reviewed poland april,size gbcolor milk,simple intuitive use battery hold long time approx day depending frequency use,nothing 2a,battery,neutral,battery simple intuitive use battery hold long time approx day depending frequency use,3
albe pix,2.0 out of 5 stars,samsung quality distant past,reviewed italy july,black,made samsung top seller mobile phone line product budget fully functional today lower part model g even better base model continues operational problem pack often week use shuts every minute online forum problem encountered time come razing system zero factory setting according assumption latest update properly installed many others return sender considering android updated least time year cant risk hard reset phone every time return buy quality chinese like one plus nord,samsung a14 5g,software,neutral,software made samsung top seller mobile phone line product budget fully functional today lower part model g even better base model continues operational problem pack often week use shuts every minute online forum problem encountered time come razing system zero factory setting according assumption latest update properly installed many others return sender considering android updated least time year cant risk hard reset phone every time return buy quality chinese like one plus nord,3
fabiola corvera,4.0 out of 5 stars,report,reviewed united state april,service provider unlockedcolor pinksize gb,translated spanish amazon,iphone 13,other,neutral,other translated spanish amazon,3
heinz denis,1.0 out of 5 stars,scrap,reviewed germany february,black,phone delivered without nfc supplier refuse change anything cell phone useless,samsung a14 5g,other,negative,other phone delivered without nfc supplier refuse change anything cell phone useless,1
emanual,5.0 out of 5 stars,amazing camera great overall phone,reviewed united state august,size gbstyle black,ive waiting get coming pro went one new camera setup regret great wide angle zoom macro hi re photo print well x ft canvas phone speedy battery actually last day screen resolution fantastic even reduced dpi use battery conservation wireless charging work flawlessly thick case audio quality perfectly clear direction hope keep good shape longer,oneplus 12.csv,battery,positive,battery ive waiting get coming pro went one new camera setup regret great wide angle zoom macro hi re photo print well x ft canvas phone speedy battery actually last day screen resolution fantastic even reduced dpi use battery conservation wireless charging work flawlessly thick case audio quality perfectly clear direction hope keep good shape longer,5
charlyale,5.0 out of 5 stars,wonder super affordable cost,reviewed mexico august,black global rom,device new good capacity opportunity cost since bought promotion loved battery charge less minute last hour working good quality far music audio system left owe lot good speaker speaker heard loudly cost quite recommended,poco m6 pro,battery,positive,battery device new good capacity opportunity cost since bought promotion loved battery charge less minute last hour working good quality far music audio system left owe lot good speaker speaker heard loudly cost quite recommended,5
knut,5.0 out of 5 stars,good mobile phone low price,reviewed germany february,black,work well,samsung a14 5g,other,neutral,other work well,3
heinz denis,1.0 out of 5 stars,scrap,reviewed germany february,black,phone delivered without nfc supplier refuse change anything cell phone useless,samsung a14 5g,other,negative,other phone delivered without nfc supplier refuse change anything cell phone useless,1
bailey kinder,5.0 out of 5 stars,factory reset,reviewed united state december,service provider unlockedcolor blue titaniumsize gb,phone factory reset received setting said something monitored factory reset went away seems good condition quite enjoying iphone pro switched pixel pixel around year think quite pleased purchase overall phone also shipped random small cardboard box instead apple box even branded box shipper something included cable apple cord random cheap looking usbc usbc cord short overall phone seems good shape,iphone 15 pro,design,positive,design phone factory reset received setting said something monitored factory reset went away seems good condition quite enjoying iphone pro switched pixel pixel around year think quite pleased purchase overall phone also shipped random small cardboard box instead apple box even branded box shipper something included cable apple cord random cheap looking usbc usbc cord short overall phone seems good shape,5
smiguel,5.0 out of 5 stars,im happy,reviewed united state march,service provider unlockedcolor black titaniumsize gb,little skeptical buying refurbished product especially cost much read review people happy many said battery figured could return wasnt happy well arrived perfect condition battery good enough great phone camera awesome,iphone 15 pro,battery,positive,battery little skeptical buying refurbished product especially cost much read review people happy many said battery figured could return wasnt happy well arrived perfect condition battery good enough great phone camera awesome,5
jaemonee,4.0 out of 5 stars,surprisingly good,reviewed united state february,service provider unlockedcolor blue titaniumsize gb,ordered pretty nervous looking review everything great far couple scratch definitely worth,iphone 15 pro,design,positive,design ordered pretty nervous looking review everything great far couple scratch definitely worth,5
nathan fell,3.0 out of 5 stars,want love,reviewed united state september,size gbstyle black,decided wanted switch oneplus pixel pro see hype oneplus excited get setup everything got phone july time play everything want love phone nothing issue camera underwhelming get phone paid plan selling going pixel pro never bad experience pixel series using since pixel love charging speed phone amount apps like gmail constantly becoming unresponsive close wait opening open email nightmare contacted support constant issue wanted send phone wherever gave cant go without phone work etc price point would go pixel pixel nonpro version long window android update guaranteed plus beautiful camera performance come tensor chip,oneplus 12.csv,battery,positive,battery decided wanted switch oneplus pixel pro see hype oneplus excited get setup everything got phone july time play everything want love phone nothing issue camera underwhelming get phone paid plan selling going pixel pro never bad experience pixel series using since pixel love charging speed phone amount apps like gmail constantly becoming unresponsive close wait opening open email nightmare contacted support constant issue wanted send phone wherever gave cant go without phone work etc price point would go pixel pixel nonpro version long window android update guaranteed plus beautiful camera performance come tensor chip,5
nancy wait,4.0 out of 5 stars,christmas gift husband,reviewed united state january,service provider tracfonecolor natural titaniumsize gb,even though listed previously carrier husband previous phone sim card wouldnt sync e sim phone pro reconditioned finally took really good carrier rep two hour figure love paperwork reconditioned phone transfer data,iphone 15 pro,connectivity,positive,connectivity even though listed previously carrier husband previous phone sim card wouldnt sync e sim phone pro reconditioned finally took really good carrier rep two hour figure love paperwork reconditioned phone transfer data,5
andrew holmes,5.0 out of 5 stars,better apple samsung combined,reviewed united state august,size gbstyle black,great phone rival best iphone samsung galaxy fraction price quick responsive take excellent photo plenty storage noticed heat time time excessive use however battery last day come quick think hundred watt charging adapter cable larger phone small hand might want consider purchase im satisfied phone best one ive ever bought,oneplus 12.csv,battery,positive,battery great phone rival best iphone samsung galaxy fraction price quick responsive take excellent photo plenty storage noticed heat time time excessive use however battery last day come quick think hundred watt charging adapter cable larger phone small hand might want consider purchase im satisfied phone best one ive ever bought,5
juan yebra,5.0 out of 5 stars,great phone,reviewed united state february,color olive green global rom,good phone,redmi note 13 pro,other,positive,other good phone,5
synepdx,3.0 out of 5 stars,problem screen worth returned,reviewed united state may,service provider unlockedcolor black titaniumsize gb,appeared screen replaced properly seated screen raised mm made question quality repair quality replacement screen whether seal affixed properly screen protector would worse decided risk returned itemfor extra better go premium renewed amazon ended buying via item listing like new issue,iphone 15 pro,screen,neutral,screen appeared screen replaced properly seated screen raised mm made question quality repair quality replacement screen whether seal affixed properly screen protector would worse decided risk returned itemfor extra better go premium renewed amazon ended buying via item listing like new issue,3
antonio,5.0 out of 5 stars,great buy,reviewed italy november,black,excellent phone activated within indicated time perfect packaging product accordance description purchase advice,samsung a14 5g,other,positive,other excellent phone activated within indicated time perfect packaging product accordance description purchase advice,5
matthew,3.0 out of 5 stars,good good enough,reviewed united state november,size gbstyle black,market new phone torn ultra alexa flip coin decisionthe o noticably different lg g thinqthe pull dock app thing worthless cannot disable itthe sheer amount extra software come installed baffling especially unlocked devicei cannot get apps auto update instead get notification google play app require updateshaving said like integration medium apps frequent o updatesthe ability limit battery charge phone learning charging habit ability limit app power usage fore backgroundthe ease getting set carrier importing contact previous carriersnow onto biggest problem modern phonesi absolutely loathe curved edge display little hole selfie camera indisplay biometrics still hate headphone jack,oneplus 12.csv,battery,negative,battery market new phone torn ultra alexa flip coin decisionthe o noticably different lg g thinqthe pull dock app thing worthless cannot disable itthe sheer amount extra software come installed baffling especially unlocked devicei cannot get apps auto update instead get notification google play app require updateshaving said like integration medium apps frequent o updatesthe ability limit battery charge phone learning charging habit ability limit app power usage fore backgroundthe ease getting set carrier importing contact previous carriersnow onto biggest problem modern phonesi absolutely loathe curved edge display little hole selfie camera indisplay biometrics still hate headphone jack,1
knut ahlborn,5.0 out of 5 stars,perfect,reviewed germany january,black,samsung perfect need size clarity display front main camera use fingerprint sensor convinced,samsung a14 5g,camera,positive,camera samsung perfect need size clarity display front main camera use fingerprint sensor convinced,5
david,5.0 out of 5 stars,people found helpful,reviewed united state may,color ocean teal,excellent phone right super fast responsive always signal work better samsung,redmi note 13 pro,performance,positive,performance excellent phone right super fast responsive always signal work better samsung,5
augustine,5.0 out of 5 stars,incredible phone,reviewed united state may,service provider unlockedcolor blue titaniumsize gb,phone far good shape came everything intact charging level amazing screen good lagging video quality overall would give,iphone 15 pro,battery,positive,battery phone far good shape came everything intact charging level amazing screen good lagging video quality overall would give,5
daniele,1.0 out of 5 stars,terrible success,reviewed italy august,black,unfortunately two month external microphone failed speakerphone ringtone asked return ill get another one hoping luckier,samsung a14 5g,audio,negative,audio unfortunately two month external microphone failed speakerphone ringtone asked return ill get another one hoping luckier,1
susanne,5.0 out of 5 stars,fast good,reviewed germany january,black,cell phone arrived quickly new could want recommended purchase,samsung a14 5g,software,positive,software cell phone arrived quickly new could want recommended purchase,5
umberto,2.0 out of 5 stars,model annoying flaw,reviewed italy june,black,absolutely recommend buying cell phone dont buy ignition defect use often turn even press power button repeatedly found defect two cell phone model video youtube talk dont fooled advantageous price worth,samsung a14 5g,battery,positive,battery absolutely recommend buying cell phone dont buy ignition defect use often turn even press power button repeatedly found defect two cell phone model video youtube talk dont fooled advantageous price worth,5
james alexander,5.0 out of 5 stars,att g performance seems ok,reviewed united state november,size gbcolor milk,leery since spec say att doesnt work well able put att prepaid sim almost immediately make phone call issue im also getting serviceable g performance live thats plus overall im satisfied purchase,nothing 2a,performance,positive,performance leery since spec say att doesnt work well able put att prepaid sim almost immediately make phone call issue im also getting serviceable g performance live thats plus overall im satisfied purchase,5
michele g,1.0 out of 5 stars,failure repair item warranty,reviewed italy december,black,product covered u warranty purchased europe samsung warranty provided warranty application requested amazon generated shipping code repair center item returned unrepaired wording item warranty u like bought item italian hope doesnt break,samsung a14 5g,other,neutral,other product covered u warranty purchased europe samsung warranty provided warranty application requested amazon generated shipping code repair center item returned unrepaired wording item warranty u like bought item italian hope doesnt break,3
elio puntillo,5.0 out of 5 stars,great phone,reviewed italy august,black,corresponds description,samsung a14 5g,other,neutral,other corresponds description,3
wilson ajpacaja,5.0 out of 5 stars,people found helpful,reviewed united state september,color olive green global rom,recommend u also hesitate work tmobile like fast charger good camera good battery banana headphone jack among aspect liked thats took time leave review recommend,redmi note 13 pro,battery,positive,battery recommend u also hesitate work tmobile like fast charger good camera good battery banana headphone jack among aspect liked thats took time leave review recommend,5
giovant,1.0 out of 5 stars,terrible quality,reviewed italy october,black,product equivalent toy wasted money,samsung a14 5g,software,negative,software product equivalent toy wasted money,1
damico giovanni,2.0 out of 5 stars,open seal,reviewed italy may,black,phone arrived opened seal bruised escarole,samsung a14 5g,software,neutral,software phone arrived opened seal bruised escarole,3
teagan,5.0 out of 5 stars,package came exactly expected,reviewed united state november,color ocean teal global rom,package arrived described come car charger well european adapter box also sealed phone turn working able set quickly started using,redmi note 13 pro,battery,positive,battery package arrived described come car charger well european adapter box also sealed phone turn working able set quickly started using,5
claudio,5.0 out of 5 stars,g,reviewed italy january,black,great good phone,samsung a14 5g,other,positive,other great good phone,5
remember roll come thicker,5.0 out of 5 stars,report,reviewed united state may,service provider unlockedcolor blue titaniumsize gb,translate review english,iphone 15 pro,other,neutral,other translate review english,3
famiglia marasca,1.0 out of 5 stars,nfc present,reviewed italy august,black,device excellent globally lack possibility pay nfc present cannot modified even update maybe come noneuropean country,samsung a14 5g,software,positive,software device excellent globally lack possibility pay nfc present cannot modified even update maybe come noneuropean country,5
oscar v,2.0 out of 5 stars,disappointing,reviewed united state october,size gbstyle green,bought phone mobile app developer time use main phone found many obstacle face id night dark inefficient bank apps support face id security measure serf unlock phone camera lot color saturation iphone pro max surpasses photography wanted try android beta process complicated still warn phone ruined process used trying io beta simply setting switch activate deactivate beta version system customization layer oxygen several error install thirdparty launcher sometimes see recent apps work well nfc good connect headphone brought headset close everywhere even side camera worked always detect itthere error dont remember wrote support asked send data test several email time interval week told perhaps would resolved update first email would told totally disappointed brand since child illusion buying oneplus phone tried disappointing cant even return outside usa,oneplus 12.csv,camera,neutral,camera bought phone mobile app developer time use main phone found many obstacle face id night dark inefficient bank apps support face id security measure serf unlock phone camera lot color saturation iphone pro max surpasses photography wanted try android beta process complicated still warn phone ruined process used trying io beta simply setting switch activate deactivate beta version system customization layer oxygen several error install thirdparty launcher sometimes see recent apps work well nfc good connect headphone brought headset close everywhere even side camera worked always detect itthere error dont remember wrote support asked send data test several email time interval week told perhaps would resolved update first email would told totally disappointed brand since child illusion buying oneplus phone tried disappointing cant even return outside usa,3
greg w,5.0 out of 5 stars,new favorite brand,reviewed united state may,size gbstyle black,long time fan google pixel phone good phone serious flaw always frustrating basically pixel phone suck basic phone function making call battery life briefly switched samsung newest update made phone unusable since bought cheap oneplus model somewhat familiar brand bough oneplus nord n wife also great budget phone hesitant buy oneplus price well budget phone price boy happy decided take risk everything pixel samsung lack pixel may take best picture overall buying phone camera phone picture excellent anyway battery life good experienced data call issue yet phone work solid well worth money,oneplus 12.csv,battery,positive,battery long time fan google pixel phone good phone serious flaw always frustrating basically pixel phone suck basic phone function making call battery life briefly switched samsung newest update made phone unusable since bought cheap oneplus model somewhat familiar brand bough oneplus nord n wife also great budget phone hesitant buy oneplus price well budget phone price boy happy decided take risk everything pixel samsung lack pixel may take best picture overall buying phone camera phone picture excellent anyway battery life good experienced data call issue yet phone work solid well worth money,5
clifton henry,3.0 out of 5 stars,unsatisfied customer,reviewed united state march,color ocean teal global rom,bought two identical xiaomi note pro g phone last week one came without section charger missing well hand strap attache phone case spec state car fast charger included neither included,redmi note 13 pro,battery,neutral,battery bought two identical xiaomi note pro g phone last week one came without section charger missing well hand strap attache phone case spec state car fast charger included neither included,3
alberto,2.0 out of 5 stars,speaker,reviewed italy december,black,speaker broke month,samsung a14 5g,audio,neutral,audio speaker broke month,3
alberto,2.0 out of 5 stars,speaker,reviewed italy december,black,speaker broke month,samsung a14 5g,audio,neutral,audio speaker broke month,3
damico giovanni,2.0 out of 5 stars,open seal,reviewed italy may,black,phone arrived opened seal bruised escarole,samsung a14 5g,software,neutral,software phone arrived opened seal bruised escarole,3
mauricio torrez,5.0 out of 5 stars,report,reviewed united state march,color titanium whitesilversize gbstyle ultrapattern name phone,translated spanish amazon,samsung s24,other,neutral,other translated spanish amazon,3
suzanne l wheat,5.0 out of 5 stars,pleased,reviewed united state march,service provider unlockedcolor natural titaniumsize gb,phone came wellprotected box padding pleased took looked look brand new couldnt find one single scratch front back charged problem holding charge well feel like got great deal happily recommend seller,iphone 15 pro,battery,positive,battery phone came wellprotected box padding pleased took looked look brand new couldnt find one single scratch front back charged problem holding charge well feel like got great deal happily recommend seller,5
stanleyv,1.0 out of 5 stars,aware power adapter u user,reviewed united state january,color ocean teal,aware power adapter u user adapter come shippment europeanasian socketno proper convert u socket provided well aware buy,redmi note 13 pro,battery,positive,battery aware power adapter u user adapter come shippment europeanasian socketno proper convert u socket provided well aware buy,5
terry sears,5.0 out of 5 stars,great phone,reviewed united state november,size gbstyle black,bought son birthday upgraded oneplus doesnt disappoint fast son love still oneplus love phone youve never oneplus phone great would never buy another brand android phone super easy use good quality great size light,oneplus 12.csv,performance,positive,performance bought son birthday upgraded oneplus doesnt disappoint fast son love still oneplus love phone youve never oneplus phone great would never buy another brand android phone super easy use good quality great size light,5
chris simpson,2.0 out of 5 stars,unknown,reviewed australia september,size gbcolor black,ordered one found bug widely documented forum touch dont register first thought screen protector case removed issue persistedno matter many different configuration tried could get bug go away software update setting change name tried itfinally figured must dud phone sent first one back ordered replacement issue daysto say frustrating week would understatementi really like phone gave star rather simple minimalism small amount flare right alley let getting basic wrongid try nothing phone future reason sadly one wasnt,nothing 2a,screen,neutral,screen ordered one found bug widely documented forum touch dont register first thought screen protector case removed issue persistedno matter many different configuration tried could get bug go away software update setting change name tried itfinally figured must dud phone sent first one back ordered replacement issue daysto say frustrating week would understatementi really like phone gave star rather simple minimalism small amount flare right alley let getting basic wrongid try nothing phone future reason sadly one wasnt,3
matthew beyer,4.0 out of 5 stars,decent condition needed clean charging port upon receipt,reviewed united state march,service provider unlockedcolor blue titaniumsize gb,review usedness phone mean iphone dont really need review got touch screen camera u poke apps happen whatnotthe phone received scuff corner little rock stuck charge port would still charge bad connection took apple store dug rock work finethe battery capacity charge rather good condition thereeverything else seems good guess might opening replacing part since listing doesnt show waterproofness might break water seal replacing damaged component,iphone 15 pro,battery,neutral,battery review usedness phone mean iphone dont really need review got touch screen camera u poke apps happen whatnotthe phone received scuff corner little rock stuck charge port would still charge bad connection took apple store dug rock work finethe battery capacity charge rather good condition thereeverything else seems good guess might opening replacing part since listing doesnt show waterproofness might break water seal replacing damaged component,3
neosupersonic,5.0 out of 5 stars,great device,reviewed italy july,blue global rom,despite mediatek processor many still criticize today found smartphone performing fast obviously took gb version maybe also helped gb ram exceptional also among lightest smartphones category dimensionally speaking,poco m6 pro,performance,positive,performance despite mediatek processor many still criticize today found smartphone performing fast obviously took gb version maybe also helped gb ram exceptional also among lightest smartphones category dimensionally speaking,5
ron g,4.0 out of 5 stars,look great screen sensitivity lacking,reviewed united state february,service provider unlockedcolor natural titaniumsize gb,phone came exactly damaged look like brand new battery level everything worked well except screen sensitivity level without screen protector function great however going four different style screen protector ive used past great success sensitivity screen lacking there way adjust,iphone 15 pro,battery,positive,battery phone came exactly damaged look like brand new battery level everything worked well except screen sensitivity level without screen protector function great however going four different style screen protector ive used past great success sensitivity screen lacking there way adjust,5
micha,5.0 out of 5 stars,unbeatable price,reviewed germany february,blue global rom,however search long time found app transferred data new poco free charge advise buyer use share install device follow instruction running program say copy wifi thats get everything old android everything new one memory poco must manually set gb otherwise great smartphone really reasonable price,poco m6 pro,battery,positive,battery however search long time found app transferred data new poco free charge advise buyer use share install device follow instruction running program say copy wifi thats get everything old android everything new one memory poco must manually set gb otherwise great smartphone really reasonable price,5
johnnie c stockett,5.0 out of 5 stars,blue,reviewed united state april,color navysize gbstyle spattern name phone,best phone ever really enjoy using phone great photo video,samsung s24,camera,positive,camera best phone ever really enjoy using phone great photo video,5
amazon kunde,1.0 out of 5 stars,smartphone nfc function,reviewed germany september,black,delivered device nfc function although stated technical specification,samsung a14 5g,other,neutral,other delivered device nfc function although stated technical specification,3
jasun fletcher,5.0 out of 5 stars,finally phone cheap man like,reviewed united state august,size gbcolor black,hello public ive using phone almost week im cheap man dont use phone like teenager meaning dont live get fact use sm mail apps work essential need daily life phone run great didnt want spend plus phone thatll run good yes dont need kind phone phone great middle ground phone cost would stomach run fabulous ill keeping eye company future need buy replace phone great productthe thing dont like volume button left side phone power button right way grab phone lock button grab pick end taking screen shot lot day thats problem readjust holding,nothing 2a,battery,positive,battery hello public ive using phone almost week im cheap man dont use phone like teenager meaning dont live get fact use sm mail apps work essential need daily life phone run great didnt want spend plus phone thatll run good yes dont need kind phone phone great middle ground phone cost would stomach run fabulous ill keeping eye company future need buy replace phone great productthe thing dont like volume button left side phone power button right way grab phone lock button grab pick end taking screen shot lot day thats problem readjust holding,5
